tweet_id,retweet_count,favorite_count
862457590147678208,4683,19724
862096992088072192,22017,71688
861383897657036800,10197,34832
861288531465048066,3937,16577
861005113778896900,3638,16122
860981674716409858,2044,0
860924035999428608,764,0
860563773140209665,2044,7243
860524505164394496,5063,22860
860276583193509888,3340,17762
860184849394610176,5579,16126
860177593139703809,29533,0
859924526012018688,3920,18949
859851578198683649,3356,14939
859607811541651456,1492,18018
859196978902773760,28838,87125
859074603037188101,13055,32810
858860390427611136,7785,0
858843525470990336,3343,15113
858471635011153920,4658,20880
858107933456039936,2793,15296
857989990357356544,2495,15630
857746408056729600,10215,33306
857393404942143489,1576,5730
857263160327368704,4351,19496
857214891891077121,17,219
857062103051644929,164,0
857029823797047296,3842,18380
856543823941562368,2781,15903
856526610513747968,1812,11556
856330835276025856,646,0
856288084350160898,15,502
856282028240666624,6081,27084
855862651834028034,25,333
855860136149123072,948,4826
855857698524602368,2044,11588
855851453814013952,17436,44644
855818117272018944,5256,26063
855459453768019968,7967,29191
855245323840757760,5791,0
855138241867124737,43,0
854732716440526848,5906,22331
854482394044301312,6695,28734
854365224396361728,4560,18523
854120357044912130,7290,31413
854010172552949760,3067,15937
853760880890318849,5598,28107
853639147608842240,9823,34149
853299958564483072,3474,15251
852936405516943360,1957,0
852912242202992640,1782,8911
852672615818899456,2111,14698
852553447878664193,3409,16082
852311364735569921,9759,32688
852226086759018497,6714,19718
852189679701164033,1557,11307
851861385021730816,19,0
851591660324737024,3421,16077
851464819735769094,6934,23979
851224888060895234,5640,20465
850753642995093505,9008,30529
850380195714523136,2574,12964
850333567704068097,326,3428
850145622816686080,3748,16182
850019790995546112,4816,20257
849776966551130114,7515,30216
849668094696017920,4892,0
849412302885593088,3128,15759
849336543269576704,1878,11332
849051919805034497,8380,42026
848690551926992896,4271,25034
848324959059550208,4559,24568
848213670039564288,726,8127
848212111729840128,3011,16226
847978865427394560,3224,0
847971574464610304,428,0
847962785489326080,5032,23375
847842811428974592,1320,5403
847617282490613760,413,6954
847606175596138505,3393,18676
847251039262605312,4274,20420
847157206088847362,5805,19797
847116187444137987,3156,21367
846874817362120707,3902,20041
846514051647705089,11489,44500
846505985330044928,3047,14058
846153765933735936,8991,31526
846139713627017216,9953,30984
846042936437604353,2848,15947
845812042753855489,8645,29215
845677943972139009,4766,25152
845397057150107648,1796,7623
845306882940190720,5366,23317
845098359547420673,7614,0
844979544864018432,2550,13618
844973813909606400,3176,15082
844580511645339650,3120,16469
844223788422217728,2190,13652
843981021012017153,2936,15193
843856843873095681,4604,21474
843604394117681152,2738,16906
843235543001513987,6012,21541
842846295480000512,3630,15289
842765311967449089,1281,6748
842535590457499648,3503,18133
842163532590374912,5791,24518
